id,name,zip_id:id
331,LA MATA,l10n_co_base_location.CO051037_zip
332,LA MATICA,l10n_co_base_location.CO051037_zip
333,LOMA DE LOS OCHOA,l10n_co_base_location.CO051037_zip
334,MERCEDES ABREGO,l10n_co_base_location.CO051037_zip
335,POTRERITO,l10n_co_base_location.CO051037_zip
336,CABECERA MUNICIPAL,l10n_co_base_location.CO051038_zip
337,EL BARRO,l10n_co_base_location.CO051038_zip
338,EL CANO,l10n_co_base_location.CO051038_zip
339,EL MOLINO,l10n_co_base_location.CO051038_zip
340,EL PALMAR,l10n_co_base_location.CO051038_zip
341,EL PARAISO,l10n_co_base_location.CO051038_zip
342,EL YARUMO,l10n_co_base_location.CO051038_zip
343,FILO VERDE,l10n_co_base_location.CO051038_zip
344,GUARNE,l10n_co_base_location.CO051038_zip
345,JAMUNDÍ,l10n_co_base_location.CO051038_zip
346,LA CALERA,l10n_co_base_location.CO051038_zip
347,LA ENEA,l10n_co_base_location.CO051038_zip
348,LA MEJIA,l10n_co_base_location.CO051038_zip
349,LA PALMA,l10n_co_base_location.CO051038_zip
350,LA CUCHILLAS,l10n_co_base_location.CO051038_zip
351,PORTACHUELO,l10n_co_base_location.CO051038_zip
352,SAN ANDRES,l10n_co_base_location.CO051038_zip
353,SAN DIEGO,l10n_co_base_location.CO051038_zip
354,SAN ESTEBAN ,l10n_co_base_location.CO051038_zip
355,ASUNCIÓN (ALTA Y BAJA) GUADALAJARA,l10n_co_base_location.CO051040_zip
356,AUTOPISTA (INDUSTRIAL),l10n_co_base_location.CO051040_zip
357,CENTRO MIRAFLORES,l10n_co_base_location.CO051040_zip
358,CHANGAI (NUCLEO URBANO),l10n_co_base_location.CO051040_zip
359,CRISTO REY CUENCA VERDE,l10n_co_base_location.CO051040_zip
360,EL MOJÓN,l10n_co_base_location.CO051040_zip
361,EL PEDREGAL,l10n_co_base_location.CO051040_zip
362,EL RECREO,l10n_co_base_location.CO051040_zip
363,EL REMANSO,l10n_co_base_location.CO051040_zip
364,FRANCISCO MENESES HORIZONTES,l10n_co_base_location.CO051040_zip
365,FÁTIMA,l10n_co_base_location.CO051040_zip
366,LA AZULITA,l10n_co_base_location.CO051040_zip
367,LA LOMITA (LUNA LUNERA),l10n_co_base_location.CO051040_zip
368,LA MI,l10n_co_base_location.CO051040_zip
369,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO051047_zip
370,LAS CANTERAS,l10n_co_base_location.CO051048_zip
371,ALTOS DE NIQUIA,l10n_co_base_location.CO051050_zip
372,CIUDAD NIQUIA,l10n_co_base_location.CO051050_zip
373,CIUDADELA DEL NORTE,l10n_co_base_location.CO051050_zip
374,GUASIMALITO,l10n_co_base_location.CO051050_zip
375,LA NAVARRA,l10n_co_base_location.CO051050_zip
376,NIQUIA BIFAMILIAR,l10n_co_base_location.CO051050_zip
377,PANAMERICANO,l10n_co_base_location.CO051050_zip
378,QUITASOL,l10n_co_base_location.CO051050_zip
379,ACEVEDO,l10n_co_base_location.CO051051_zip
380,ACEVEDO BELLO,l10n_co_base_location.CO051051_zip
381,ALCALÁ,l10n_co_base_location.CO051051_zip
382,FONTIQUEÑO,l10n_co_base_location.CO051051_zip
383,LA CAMILA,l10n_co_base_location.CO051051_zip
384,LA ESTACIÓN,l10n_co_base_location.CO051051_zip
385,LA GABRIELA,l10n_co_base_location.CO051051_zip
386,LAS VEGAS,l10n_co_base_location.CO051051_zip
387,SANTA RITA,l10n_co_base_location.CO051051_zip
